Team 1,FT,Team 2
Borussia Dortmund (1),5-1,1. FC Köln (1)
VfL Wolfsburg (1),1-2,Hertha BSC (11)
Eintracht Frankfurt (11),2-0,RB Leipzig (1)
1. FC Union Berlin (1),2-0,FC Augsburg (1)
Fortuna Düsseldorf (10),1-1,Eintracht Frankfurt (11)
1. FC Köln (1),4-0,SC Freiburg (1)
Borussia Dortmund (1),5-0,1. FC Union Berlin (1)
Hertha BSC (11),0-0,FC Schalke 04 (1)
1. FSV Mainz 05 (11),1-3,Bayern München (1)
FC Augsburg (1),2-1,Werder Bremen (1)
SC Paderborn 07 (2),2-4,VfL Wolfsburg (1)
TSG 1899 Hoffenheim (1),2-1,Bayer 04 Leverkusen (10)
RB Leipzig (1),2-2,Bor. Mönchengladbach (1)
FC Schalke 04 (1),1-1,SC Paderborn 07 (2)
Werder Bremen (1),0-2,1. FC Union Berlin (1)
SC Freiburg (1),1-0,TSG 1899 Hoffenheim (1)
Bayer 04 Leverkusen (10),4-3,Borussia Dortmund (1)
Bayern München (1),0-0,RB Leipzig (1)
Bor. Mönchengladbach (1),2-1,1. FC Köln (1)
VfL Wolfsburg (1),1-1,Fortuna Düsseldorf (10)
Hertha BSC (11),1-3,1. FSV Mainz 05 (11)
Eintracht Frankfurt (11),5-0,FC Augsburg (1)
Fortuna Düsseldorf (10),1-4,Bor. Mönchengladbach (1)
1. FC Köln (1),1-4,Bayern München (1)
Borussia Dortmund (1),4-0,Eintracht Frankfurt (11)
1. FSV Mainz 05 (11),0-0,FC Schalke 04 (1)
1. FC Union Berlin (1),2-3,Bayer 04 Leverkusen (10)
FC Augsburg (1),1-1,SC Freiburg (1)
SC Paderborn 07 (2),1-2,Hertha BSC (11)
TSG 1899 Hoffenheim (1),2-3,VfL Wolfsburg (1)
RB Leipzig (1),3-0,Werder Bremen (1)
FC Schalke 04 (1),0-5,RB Leipzig (1)
Werder Bremen (1),0-2,Borussia Dortmund (1)
SC Freiburg (1),0-2,Fortuna Düsseldorf (10)
Bayer 04 Leverkusen (10),2-0,FC Augsburg (1)
Bayern München (1),3-2,SC Paderborn 07 (2)
Bor. Mönchengladbach (1),1-1,TSG 1899 Hoffenheim (1)
VfL Wolfsburg (1),4-0,1. FSV Mainz 05 (11)
Hertha BSC (11),0-5,1. FC Köln (1)
Eintracht Frankfurt (11),1-2,1. FC Union Berlin (1)
Werder Bremen (1),2-1,Eintracht Frankfurt (11)
Fortuna Düsseldorf (10),3-3,Hertha BSC (11)
1. FC Köln (1),3-0,FC Schalke 04 (1)
Borussia Dortmund (1),1-0,SC Freiburg (1)
1. FSV Mainz 05 (11),2-0,SC Paderborn 07 (2)
1. FC Union Berlin (1),2-2,VfL Wolfsburg (1)
FC Augsburg (1),2-3,Bor. Mönchengladbach (1)
TSG 1899 Hoffenheim (1),0-6,Bayern München (1)
RB Leipzig (1),1-1,Bayer 04 Leverkusen (10)
FC Schalke 04 (1),1-1,TSG 1899 Hoffenheim (1)
SC Freiburg (1),3-1,1. FC Union Berlin (1)
Bayer 04 Leverkusen (10),4-0,Eintracht Frankfurt (11)
Bayern München (1),2-0,FC Augsburg (1)
Bor. Mönchengladbach (1),1-2,Borussia Dortmund (1)
VfL Wolfsburg (1),0-0,RB Leipzig (1)
Hertha BSC (11),2-2,Werder Bremen (1)
1. FSV Mainz 05 (11),1-1,Fortuna Düsseldorf (10)
